timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,,IdleTime,Connect,,Latency1,Latency2,Latency3
1650337183041,1503,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,18,18,http://localhost:50001/calculationsStored,,0,0,,1265,825,1368
1650337182973,1682,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,18,18,http://localhost:50001/calculationsStored,,0,1,,1484,1521,1650
1650337183148,1529,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,18,18,http://localhost:50001/calculationsStored,,0,1,,1042,1326,1451
1650337183323,1522,HTTP Request,200,OK,Thread Group 3-14,text,true,,37675170,18,18,http://localhost:50001/calculationsStored,,0,1,,1712,1304,1483
1650337183383,1551,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,19,19,http://localhost:50001/calculationsStored,,0,2,,1221,1404,1511
1650337183673,1438,HTTP Request,200,OK,Thread Group 3-17,text,true,,37675170,19,19,http://localhost:50001/calculationsStored,,0,3,,1498,1501,1390
1650337183448,1707,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,19,19,http://localhost:50001/calculationsStored,,0,0,,1689,1865,1640
1650337184238,1162,HTTP Request,200,OK,Thread Group 3-13,text,true,,37675170,19,19,http://localhost:50001/calculationsStored,,0,1,,1162,956,1099
1650337183672,1759,HTTP Request,200,OK,Thread Group 3-12,text,true,,37675170,19,19,http://localhost:50001/calculationsStored,,0,0,,1286,1177,1631
1650337183769,1811,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,20,20,http://localhost:50001/calculationsStored,,0,2,,1369,1351,1775
1650337184526,1124,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,20,20,http://localhost:50001/calculationsStored,,0,0,,1741,1490,1082
1650337184042,1614,HTTP Request,200,OK,Thread Group 3-15,text,true,,37675170,20,20,http://localhost:50001/calculationsStored,,0,1,,1447,1543,1548
1650337183865,1881,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,20,20,http://localhost:50001/calculationsStored,,0,1,,1533,1905,1852
1650337184197,1680,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,20,20,http://localhost:50001/calculationsStored,,0,0,,1500,1427,1633
1650337184273,1730,HTTP Request,200,OK,Thread Group 3-18,text,true,,37675170,20,20,http://localhost:50001/calculationsStored,,0,1,,1206,1482,1695
1650337184447,1646,HTTP Request,200,OK,Thread Group 3-16,text,true,,37675170,21,21,http://localhost:50001/calculationsStored,,0,1,,1578,709,1591
1650337184532,1609,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,21,21,http://localhost:50001/calculationsStored,,0,0,,1794,1731,1576
1650337184541,1642,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,21,21,http://localhost:50001/calculationsStored,,0,0,,1427,1390,1613
1650337184677,1684,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,21,21,http://localhost:50001/calculationsStored,,0,0,,2204,1415,1619
1650337184873,1525,HTTP Request,200,OK,Thread Group 3-19,text,true,,37675170,21,21,http://localhost:50001/calculationsStored,,0,0,,1500,1847,1469
1650337184845,1786,HTTP Request,200,OK,Thread Group 3-14,text,true,,37675170,21,21,http://localhost:50001/calculationsStored,,0,5,,1516,1562,1742
1650337184544,2112,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,21,21,http://localhost:50001/calculationsStored,,0,0,,1664,2256,2040
1650337184655,2216,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,22,22,http://localhost:50001/calculationsStored,,0,0,,2155,1721,2089
1650337185155,1725,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,22,22,http://localhost:50001/calculationsStored,,0,0,,1226,1558,1606
1650337185111,1769,HTTP Request,200,OK,Thread Group 3-17,text,true,,37675170,22,22,http://localhost:50001/calculationsStored,,0,3,,1662,1538,1628
1650337184934,2041,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,22,22,http://localhost:50001/calculationsStored,,0,0,,1473,1717,1992
1650337185657,1545,HTTP Request,200,OK,Thread Group 3-15,text,true,,37675170,22,22,http://localhost:50001/calculationsStored,,0,0,,2087,1713,1503
1650337185474,1749,HTTP Request,200,OK,Thread Group 3-20,text,true,,37675170,22,22,http://localhost:50001/calculationsStored,,0,0,,1628,1752,1658
1650337185878,1638,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,23,23,http://localhost:50001/calculationsStored,,0,0,,2005,2445,1609
1650337185746,1852,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,23,23,http://localhost:50001/calculationsStored,,0,0,,1298,1611,1785
1650337185431,2207,HTTP Request,200,OK,Thread Group 3-12,text,true,,37675170,23,23,http://localhost:50001/calculationsStored,,0,4,,1417,1911,2136
1650337185581,2088,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,23,23,http://localhost:50001/calculationsStored,,0,0,,2162,2173,1956
1650337186093,1641,HTTP Request,200,OK,Thread Group 3-16,text,true,,37675170,23,23,http://localhost:50001/calculationsStored,,0,0,,1799,1489,1552
1650337185650,2092,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,23,23,http://localhost:50001/calculationsStored,,0,0,,1783,1824,2037
1650337185405,2395,HTTP Request,200,OK,Thread Group 3-13,text,true,,37675170,23,23,http://localhost:50001/calculationsStored,,0,0,,2000,1234,2363
1650337186074,1936,HTTP Request,200,OK,Thread Group 3-21,text,true,,37675170,24,24,http://localhost:50001/calculationsStored,,0,1,,2376,1885,1884
1650337186004,2129,HTTP Request,200,OK,Thread Group 3-18,text,true,,37675170,24,24,http://localhost:50001/calculationsStored,,0,0,,1512,2444,2089
1650337186398,1870,HTTP Request,200,OK,Thread Group 3-19,text,true,,37675170,24,24,http://localhost:50001/calculationsStored,,0,1,,1115,1426,1791
1650337186141,2166,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,24,24,http://localhost:50001/calculationsStored,,0,0,,2284,2201,2046
1650337186631,1777,HTTP Request,200,OK,Thread Group 3-14,text,true,,37675170,24,24,http://localhost:50001/calculationsStored,,0,3,,1931,2047,1688
1650337186184,2280,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,24,24,http://localhost:50001/calculationsStored,,0,0,,1834,2306,2168
1650337186976,1726,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,25,25,http://localhost:50001/calculationsStored,,0,0,,1758,1658,1620
1650337186680,2142,HTTP Request,200,OK,Thread Group 3-22,text,true,,37675170,25,25,http://localhost:50001/calculationsStored,,0,0,,2247,1989,2106
1650337187638,1410,HTTP Request,200,OK,Thread Group 3-12,text,true,,37675170,25,25,http://localhost:50001/calculationsStored,,0,4,,2060,2007,1364
1650337186871,2254,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,26,26,http://localhost:50001/calculationsStored,,0,9,,2229,2308,2216
1650337186371,2868,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,26,26,http://localhost:50001/calculationsStored,,0,0,,2783,2189,2806
1650337187516,1749,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,26,26,http://localhost:50001/calculationsStored,,0,1,,1906,1732,1687
1650337186656,2705,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,26,26,http://localhost:50001/calculationsStored,,0,0,,1972,1943,2671
1650337186880,2538,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,26,26,http://localhost:50001/calculationsStored,,0,0,,1846,2622,2494
1650337187224,2338,HTTP Request,200,OK,Thread Group 3-20,text,true,,37675170,26,26,http://localhost:50001/calculationsStored,,0,12,,2201,1411,2310
1650337187202,2531,HTTP Request,200,OK,Thread Group 3-15,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,,0,1,,1783,2123,2471
1650337187279,2487,HTTP Request,200,OK,Thread Group 3-23,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,,0,0,,2590,1601,2412
1650337186904,2934,HTTP Request,200,OK,Thread Group 3-17,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,,0,0,,2641,2208,2854
1650337188307,1688,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,,0,0,,1839,2361,1653
1650337187669,2376,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,,0,0,,2161,1771,2345
1650337187874,2281,HTTP Request,200,OK,Thread Group 3-24,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,,0,0,,2485,2107,2221
1650337187742,2531,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,27,27,http://localhost:50001/calculationsStored,,0,0,,1843,1768,2496
1650337188010,2320,HTTP Request,200,OK,Thread Group 3-21,text,true,,37675170,28,28,http://localhost:50001/calculationsStored,,0,0,,2210,2393,2278
1650337188279,2167,HTTP Request,200,OK,Thread Group 3-19,text,true,,37675170,28,28,http://localhost:50001/calculationsStored,,0,0,,1778,1562,2106
1650337187734,2889,HTTP Request,200,OK,Thread Group 3-16,text,true,,37675170,28,28,http://localhost:50001/calculationsStored,,0,1,,2413,1775,2826
1650337187598,3026,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,28,28,http://localhost:50001/calculationsStored,,0,0,,2570,2213,2976
1650337188702,2094,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,28,28,http://localhost:50001/calculationsStored,,0,1,,2108,1968,2036
1650337188408,2432,HTTP Request,200,OK,Thread Group 3-14,text,true,,37675170,28,28,http://localhost:50001/calculationsStored,,0,1,,2181,2629,2380
1650337188133,2727,HTTP Request,200,OK,Thread Group 3-18,text,true,,37675170,28,28,http://localhost:50001/calculationsStored,,0,0,,1641,1936,2676
