timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect,,Latency,Latency,Latency
1650343983885,1124,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,14,14,http://localhost:50001/calculationsStored,1068,0,0,,1068,1229,811
1650343983903,1148,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,14,14,http://localhost:50001/calculationsStored,1115,0,0,,1115,1073,995
1650343984306,858,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,14,14,http://localhost:50001/calculationsStored,792,0,0,,792,1039,598
1650343984405,934,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,14,14,http://localhost:50001/calculationsStored,871,0,0,,871,1110,1103
1650343984452,890,HTTP Request,200,OK,Thread Group 3-13,text,true,,37675170,14,14,http://localhost:50001/calculationsStored,834,0,0,,834,963,1491
1650343984696,760,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,14,14,http://localhost:50001/calculationsStored,723,0,0,,723,1286,1065
1650343984650,889,HTTP Request,200,OK,Thread Group 3-12,text,true,,37675170,14,14,http://localhost:50001/calculationsStored,855,0,0,,855,883,1480
1650343984467,1127,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,15,15,http://localhost:50001/calculationsStored,1079,0,1,,1079,1075,878
1650343984768,935,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,15,15,http://localhost:50001/calculationsStored,872,0,0,,872,1120,1202
1650343984412,1358,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,15,15,http://localhost:50001/calculationsStored,1325,0,0,,1325,967,1102
1650343984794,1312,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,15,15,http://localhost:50001/calculationsStored,1265,0,0,,1265,1122,958
1650343984976,1145,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,15,15,http://localhost:50001/calculationsStored,1064,0,0,,1064,1049,1473
1650343985110,1076,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,16,16,http://localhost:50001/calculationsStored,1021,0,0,,1021,1072,1617
1650343985439,916,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,16,16,http://localhost:50001/calculationsStored,877,0,0,,877,1008,1356
1650343985152,1401,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,16,16,http://localhost:50001/calculationsStored,1324,0,1,,1324,1374,1042
1650343985054,1519,HTTP Request,200,OK,Thread Group 3-14,text,true,,37675170,16,16,http://localhost:50001/calculationsStored,1432,0,0,,1432,842,1228
1650343985641,1006,HTTP Request,200,OK,Thread Group 3-12,text,true,,37675170,16,16,http://localhost:50001/calculationsStored,960,0,0,,960,970,1308
1650343984976,1681,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,16,16,http://localhost:50001/calculationsStored,1605,0,0,,1605,1351,1173
1650343985442,1363,HTTP Request,200,OK,Thread Group 3-13,text,true,,37675170,17,17,http://localhost:50001/calculationsStored,1294,0,0,,1294,1241,1390
1650343985263,1548,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,17,17,http://localhost:50001/calculationsStored,1460,0,1,,1460,1093,1192
1650343985555,1372,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,17,17,http://localhost:50001/calculationsStored,1295,0,0,,1295,1306,1112
1650343985870,1220,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,17,17,http://localhost:50001/calculationsStored,1190,0,0,,1190,1672,915
1650343986233,945,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,17,17,http://localhost:50001/calculationsStored,907,0,0,,907,1102,1428
1650343985647,1683,HTTP Request,200,OK,Thread Group 3-15,text,true,,37675170,17,17,http://localhost:50001/calculationsStored,1637,0,1,,1637,1517,1309
1650343985696,1682,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,18,18,http://localhost:50001/calculationsStored,1642,0,1,,1642,1394,1258
1650343986215,1211,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,18,18,http://localhost:50001/calculationsStored,1176,0,0,,1176,1411,1190
1650343985802,1724,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,18,18,http://localhost:50001/calculationsStored,1692,0,0,,1692,1033,1242
1650343986242,1456,HTTP Request,200,OK,Thread Group 3-16,text,true,,37675170,18,18,http://localhost:50001/calculationsStored,1426,0,0,,1426,1032,1236
1650343986294,1485,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,18,18,http://localhost:50001/calculationsStored,1433,0,1,,1433,1454,1355
1650343986457,1538,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,19,19,http://localhost:50001/calculationsStored,1436,0,0,,1436,1584,1404
1650343986845,1171,HTTP Request,200,OK,Thread Group 3-17,text,true,,37675170,19,19,http://localhost:50001/calculationsStored,1120,0,1,,1120,1699,1260
1650343986749,1272,HTTP Request,200,OK,Thread Group 3-12,text,true,,37675170,19,19,http://localhost:50001/calculationsStored,1179,0,0,,1179,1269,1301
1650343986652,1582,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,19,19,http://localhost:50001/calculationsStored,1487,0,1,,1487,1707,1691
1650343986907,1327,HTTP Request,200,OK,Thread Group 3-13,text,true,,37675170,19,19,http://localhost:50001/calculationsStored,1235,0,0,,1235,1323,1367
1650343986676,1763,HTTP Request,200,OK,Thread Group 3-14,text,true,,37675170,19,19,http://localhost:50001/calculationsStored,1717,0,0,,1717,1313,1806
1650343986912,1558,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,19,19,http://localhost:50001/calculationsStored,1481,0,0,,1481,1702,1483
1650343986757,1795,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,20,20,http://localhost:50001/calculationsStored,1730,0,0,,1730,1485,1356
1650343987430,1223,HTTP Request,200,OK,Thread Group 3-15,text,true,,37675170,20,20,http://localhost:50001/calculationsStored,1175,0,0,,1175,1531,1418
1650343987278,1520,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,20,20,http://localhost:50001/calculationsStored,1480,0,1,,1480,1420,1755
1650343987190,1680,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,20,20,http://localhost:50001/calculationsStored,1625,0,1,,1625,1602,1617
1650343987443,1435,HTTP Request,200,OK,Thread Group 3-18,text,true,,37675170,20,20,http://localhost:50001/calculationsStored,1370,0,1,,1370,1346,1532
1650343987478,1662,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,20,20,http://localhost:50001/calculationsStored,1614,0,1,,1614,1123,1564
1650343987045,2184,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,21,21,http://localhost:50001/calculationsStored,2152,0,0,,2152,1567,1910
1650343987526,1781,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,21,21,http://localhost:50001/calculationsStored,1737,0,1,,1737,1935,1497
1650343987880,1543,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,21,21,http://localhost:50001/calculationsStored,1505,0,0,,1505,1136,1642
1650343987627,1934,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,21,21,http://localhost:50001/calculationsStored,1885,0,1,,1885,1618,1330
1650343988097,1476,HTTP Request,200,OK,Thread Group 3-7,text,true,,37675170,21,21,http://localhost:50001/calculationsStored,1392,0,0,,1392,1204,2027
1650343988057,1674,HTTP Request,200,OK,Thread Group 3-19,text,true,,37675170,21,21,http://localhost:50001/calculationsStored,1606,0,0,,1606,2131,2045
1650343988335,1434,HTTP Request,200,OK,Thread Group 3-8,text,true,,37675170,22,22,http://localhost:50001/calculationsStored,1326,0,0,,1326,1798,1850
1650343988335,1467,HTTP Request,200,OK,Thread Group 3-13,text,true,,37675170,22,22,http://localhost:50001/calculationsStored,1410,0,0,,1410,2072,1405
1650343987798,2126,HTTP Request,200,OK,Thread Group 3-16,text,true,,37675170,22,22,http://localhost:50001/calculationsStored,2084,0,1,,2084,2201,1989
1650343988117,1984,HTTP Request,200,OK,Thread Group 3-17,text,true,,37675170,22,22,http://localhost:50001/calculationsStored,1915,0,0,,1915,1088,850
1650343988121,2018,HTTP Request,200,OK,Thread Group 3-12,text,true,,37675170,22,22,http://localhost:50001/calculationsStored,1986,0,0,,1986,1855,1859
1650343988653,1676,HTTP Request,200,OK,Thread Group 3-2,text,true,,37675170,22,22,http://localhost:50001/calculationsStored,1552,0,0,,1552,1957,1758
1650343989258,1091,HTTP Request,200,OK,Thread Group 3-21,text,true,,37675170,23,23,http://localhost:50001/calculationsStored,1017,0,0,,1017,1984,1984
1650343988571,2009,HTTP Request,200,OK,Thread Group 3-4,text,true,,37675170,23,23,http://localhost:50001/calculationsStored,1959,0,0,,1959,1399,1089
1650343988546,2132,HTTP Request,200,OK,Thread Group 3-14,text,true,,37675170,23,23,http://localhost:50001/calculationsStored,2072,0,1,,2072,1642,2005
1650343988757,2021,HTTP Request,200,OK,Thread Group 3-15,text,true,,37675170,23,23,http://localhost:50001/calculationsStored,1950,0,0,,1950,1417,1364
1650343988970,1828,HTTP Request,200,OK,Thread Group 3-5,text,true,,37675170,23,23,http://localhost:50001/calculationsStored,1777,0,1,,1777,2190,2019
1650343989241,1702,HTTP Request,200,OK,Thread Group 3-11,text,true,,37675170,23,23,http://localhost:50001/calculationsStored,1660,0,0,,1660,1980,2190
1650343988647,2369,HTTP Request,200,OK,Thread Group 3-20,text,true,,37675170,24,24,http://localhost:50001/calculationsStored,2320,0,1,,2320,2735,2092
1650343989411,1629,HTTP Request,200,OK,Thread Group 3-3,text,true,,37675170,24,24,http://localhost:50001/calculationsStored,1592,0,0,,1592,2033,1412
1650343988898,2450,HTTP Request,200,OK,Thread Group 3-1,text,true,,37675170,24,24,http://localhost:50001/calculationsStored,2342,0,0,,2342,1993,2081
1650343989329,2089,HTTP Request,200,OK,Thread Group 3-10,text,true,,37675170,24,24,http://localhost:50001/calculationsStored,1973,0,0,,1973,2057,2036
1650343989857,1578,HTTP Request,200,OK,Thread Group 3-22,text,true,,37675170,24,24,http://localhost:50001/calculationsStored,1517,0,0,,1517,1582,1638
1650343989868,1696,HTTP Request,200,OK,Thread Group 3-19,text,true,,37675170,25,25,http://localhost:50001/calculationsStored,1614,0,0,,1614,1995,2373
1650343988979,2713,HTTP Request,200,OK,Thread Group 3-18,text,true,,37675170,25,25,http://localhost:50001/calculationsStored,2678,0,0,,2678,1861,1357
1650343989533,2257,HTTP Request,200,OK,Thread Group 3-9,text,true,,37675170,25,25,http://localhost:50001/calculationsStored,2204,0,0,,2204,1948,1450
1650343989661,2316,HTTP Request,200,OK,Thread Group 3-6,text,true,,37675170,25,25,http://localhost:50001/calculationsStored,2269,0,0,,2269,1566,1729
1650343990026,2006,HTTP Request,200,OK,Thread Group 3-16,text,true,,37675170,25,25,http://localhost:50001/calculationsStored,1931,0,0,,1931,1632,2135
